update,loss_tokens,muon_train_loss,tiller_train_loss,train_loss_gap_tiller_minus_muon,muon_train_mean_last_100,tiller_train_mean_last_100,muon_validation_loss,tiller_validation_loss,validation_loss_gap_tiller_minus_muon,muon_validation_ppl,tiller_validation_ppl,validation_ppl_gap_tiller_minus_muon
9700,2542796800,2.8189520835876465,2.8154900074005127,-0.003462076187133789,2.8736835169792174,2.8724335122108458,2.729148183017969,2.729976214468479,0.000828031450510025,15.319831767492333,15.332522323376946,0.012690555884612209
9800,2569011200,2.969304084777832,2.968338966369629,-0.000965118408203125,2.8634519243240355,2.862230477333069,2.731336172670126,2.7276633493602276,-0.0036728233098983765,15.353388097937264,15.297101245351412,-0.05628685258585264
9900,2595225600,2.82128643989563,2.8189027309417725,-0.002383708953857422,2.857400641441345,2.8561710357666015,2.7332289703190327,2.731045238673687,-0.002183731645345688,15.38247647535345,15.348921925091313,-0.03355455026213683
10000,2621440000,2.7601253986358643,2.759535551071167,-0.0005898475646972656,2.7913751339912416,2.7898305654525757,2.7350893430411816,2.732526447623968,-0.00256289541721344,15.41112025077521,15.371673731553859,-0.039446519221352006
10100,2647654400,2.7692246437072754,2.7669572830200195,-0.0022673606872558594,2.7878973484039307,2.7867427277565002,2.7370504438877106,2.734728503972292,-0.002321939915418625,15.441372666067899,15.405560319673883,-0.03581234639401565
10200,2673868800,2.833768367767334,2.832770824432373,-0.0009975433349609375,2.833120219707489,2.831822063922882,2.719933245331049,2.7178753092885017,-0.002057936042547226,15.17930892139028,15.148102995373291,-0.03120592601698924
10300,2700083200,2.798948049545288,2.797667980194092,-0.001280069351196289,2.830716097354889,2.8290963220596312,2.7120784148573875,2.71069722995162,-0.0013811849057674408,15.060545068697374,15.039758029852575,-0.02078703884479971
10400,2726297600,2.838253974914551,2.8357443809509277,-0.002509593963623047,2.8634121561050416,2.8614952301979066,2.711351443082094,2.710557110607624,-0.0007943324744701385,15.049600456206093,15.037650816457699,-0.011949639748394247
10500,2752512000,2.841017484664917,2.8398241996765137,-0.0011932849884033203,2.8738414883613586,2.8723869132995605,2.7152145579457283,2.7148928865790367,-0.00032167136669158936,15.10785123369953,15.102992252084938,-0.004858981614590974
10600,2778726400,2.8377532958984375,2.835914373397827,-0.0018389225006103516,2.8554337286949156,2.8539353013038635,2.7133959718048573,2.7101534456014633,-0.003242526203393936,15.080401272452463,15.03158186804169,-0.04881940441077326
10700,2804940800,2.8341317176818848,2.8329055309295654,-0.001226186752319336,2.857798311710358,2.856203989982605,2.712303042411804,2.709879208356142,-0.002423834055662155,15.063928462091804,15.027460213618784,-0.036468248473019216
10800,2831155200,2.820467948913574,2.8216397762298584,0.0011718273162841797,2.8240738129615783,2.8224231791496277,2.7145670242607594,2.7101533710956573,-0.004413653165102005,15.098071557794714,15.031580748101609,-0.06649080969310539
10900,2857369600,2.8392369747161865,2.8353028297424316,-0.003934144973754883,2.779394955635071,2.7777283787727356,2.719108421355486,2.7143115252256393,-0.004796896129846573,15.166793825544532,15.09421450783678,-0.07257931770775272
11000,2883584000,2.7497668266296387,2.7469377517700195,-0.0028290748596191406,2.7737179470062254,2.771942126750946,2.706796120852232,2.702775426208973,-0.0040206946432590485,14.981200586700641,14.92108668455762,-0.060113902143021036
11100,2909798400,2.809840679168701,2.809938907623291,9.822845458984375e-05,2.8060062742233276,2.8043859791755676,2.687094010412693,2.6832795701920986,-0.003814440220594406,14.68892796625213,14.633004654491854,-0.055923311760276206
11200,2936012800,2.7979841232299805,2.7946438789367676,-0.0033402442932128906,2.819808077812195,2.8183856797218323,2.687971245497465,2.6835821606218815,-0.004389084875583649,14.701819262743903,14.637433131632882,-0.06438613111102143
11300,2962227200,2.884190559387207,2.8821563720703125,-0.0020341873168945312,2.8394073176383974,2.8381094670295717,2.684765473008156,2.6823152154684067,-0.0024502575397491455,14.654764039477495,14.618900049345871,-0.03586399013162378
11400,2988441600,2.8415019512176514,2.8399312496185303,-0.0015707015991210938,2.8450647521018984,2.843311696052551,2.681922972202301,2.6809732913970947,-0.0009496808052062988,14.613167008690445,14.599295752154587,-0.013871256535857412
11445,3000238080,2.8499550819396973,2.845531702041626,-0.004423379898071289,2.8458853268623354,2.844239435195923,2.680699970573187,2.6804328337311745,-0.0002671368420124054,14.595306005876342,14.591407582651145,-0.0038984232251966233
